Obs,DOY,treatment,_TYPE_,_FREQ_,ten_corr,twenty_corr,thirty_corr,forty_corr,fifty_corr,sixty_corr,seventy_corr,eighty_corr,ninety_corr,hundred_corr,top,middle,bottom,true_top,true_middle,true_bottom,true_ten,true_twenty,true_thirty,true_forty,true_fifty,true_sixty,true_seventy,true_eighty,true_ninety,true_hundred
36,224,wet,80,15,26.7266,36.9212,45.82,50.4287,51.5285,52.572,52.4079,51.7875,51.379,51.4854,31.8239,49.2889,52.2558,36.1898,45.1117,46.8488,32.3039,40.0757,43.0806,45.779,46.423,47.0339,46.9378,46.5746,46.3354,46.3977
37,225,wet,80,16,27.7557,38.0099,46.1792,50.1649,51.2085,51.9506,51.6962,50.957,50.2479,50.5382,32.8828,49.1673,51.5346,36.997,45.0405,46.4266,33.0884,40.9056,43.291,45.6246,46.2356,46.6701,46.5212,46.0884,45.6732,45.8432
38,227,wet,80,14,28.6169,36.967,46.1985,50.1701,51.1315,52.0816,51.8377,51.463,50.8797,51.1417,32.7919,49.1577,51.7941,36.9277,45.0349,46.5785,33.7449,40.1105,43.3023,45.6277,46.1906,46.7468,46.604,46.3846,46.0431,46.1965
39,228,wet,80,15,28.0476,36.6462,45.4614,49.4574,50.5227,51.4702,51.3981,50.7919,50.4956,50.6113,32.3469,48.4768,51.2201,36.5885,44.6362,46.2424,33.311,39.866,42.8707,45.2104,45.8341,46.3888,46.3466,45.9917,45.8182,45.8859
40,231,wet,80,15,24.7321,36.137,45.3612,49.6363,50.7472,51.7244,51.4017,51.0544,50.5832,50.7978,30.4345,48.589,51.3935,35.1306,44.7019,46.3439,30.7834,39.4778,42.812,45.3151,45.9655,46.5377,46.3487,46.1454,45.8695,45.9951
41,234,wet,80,15,25.5172,37.1123,46.4332,50.3349,50.9933,51.7813,51.4624,50.9564,50.5186,50.7192,31.3148,49.2421,51.4,35.8016,45.0843,46.3478,31.3819,40.2213,43.4397,45.7241,46.1096,46.571,46.3843,46.088,45.8317,45.9492
42,237,wet,80,15,31.9176,43.5718,51.2314,54.5304,55.1447,55.9298,55.6263,55.1147,54.6279,54.9166,37.7447,52.9459,55.448,40.7034,47.2529,48.7178,36.2612,45.1456,46.249,48.1806,48.5403,49,48.8222,48.5227,48.2377,48.4067
43,239,wet,80,15,26.4188,41.755,50.772,54.5606,55.1612,55.8828,55.1597,54.9146,54.3688,54.7176,34.0869,53.4083,55.2036,37.9149,47.5236,48.5747,32.0692,43.7607,45.98,48.1983,48.5499,48.9724,48.5491,48.4055,48.086,48.2902
44,242,wet,80,15,27.1799,41.7587,51.0876,54.5829,55.1499,55.6141,55.475,54.891,54.424,54.5921,34.4693,52.9225,55.2037,38.2065,47.2392,48.5748,32.6495,43.7635,46.1648,48.2113,48.5433,48.8151,48.7337,48.3917,48.1183,48.2167
45,246,wet,80,15,25.6043,37.9569,46.6593,50.1453,51.0157,51.7419,51.4107,51.1233,50.7439,50.8549,31.7806,49.2853,51.4253,36.1568,45.1096,46.3625,31.4483,40.8652,43.572,45.6131,46.1228,46.5479,46.354,46.1857,45.9636,46.0286
46,249,wet,80,15,24.8654,37.8686,46.6074,49.9646,50.8847,51.7572,51.4856,51.0896,50.6882,50.5598,31.367,49.1514,51.4441,35.8415,45.0312,46.3736,30.885,40.7979,43.5416,45.5073,46.046,46.5569,46.3978,46.166,45.931,45.8558
47,251,wet,80,15,22.9704,37.7026,47.0831,50.2346,51.1998,51.9526,51.57,51.2953,50.9994,51.183,30.6811,49.696,51.6059,35.3186,45.3501,46.4683,29.4403,40.6713,43.8202,45.6654,46.2305,46.6713,46.4473,46.2864,46.1132,46.2207
48,256,wet,80,15,29.9271,42.447,50.011,53.5958,54.7174,54.8439,54.6782,54.258,53.8748,54.1104,36.1871,52.7736,54.3494,39.516,47.152,48.0746,34.7438,44.2882,45.5345,47.6334,48.2901,48.3642,48.2671,48.0211,47.7968,47.9347
49,261,wet,80,14,28.1423,38.8873,46.4125,49.5007,50.8441,51.5541,51.3603,51.0928,50.7584,51.0564,33.5148,48.9131,51.3357,37.4788,44.8916,46.3101,33.3831,41.5745,43.4276,45.2357,46.0223,46.4379,46.3245,46.1679,45.9721,46.1466
50,265,wet,80,15,31.6687,42.97,50.3512,53.9013,54.4507,55.3368,54.6616,54.3712,53.9876,54.4138,37.3193,52.7226,54.7898,40.3792,47.1221,48.3325,36.0714,44.6869,45.7337,47.8123,48.1339,48.6527,48.2574,48.0874,47.8628,48.1123
51,268,wet,80,15,31.2422,42.9584,50.1819,53.8589,55.3919,55.6632,55.2829,54.9909,54.6692,54.7267,37.1003,53.1253,55.1022,40.2122,47.3579,48.5154,35.7463,44.678,45.6346,47.7874,48.685,48.8438,48.6212,48.4502,48.2618,48.2955
52,270,wet,80,15,28.3419,39.239,46.1787,49.4959,50.3592,51.1563,50.9223,50.5339,50.131,50.317,33.7904,48.6875,50.8709,37.6889,44.7596,46.0379,33.5352,41.8426,43.2907,45.2329,45.7384,46.2051,46.068,45.8406,45.6048,45.7136
